adrena_brains,attacks,bosses,create_time,episode_id,first_attack_turn,first_ready_turn,first_shadow_turn,froslass_evolves,grim_evolutions,opp_deck_left,opp_first_attack_turn,opp_prize_left,opponent_deck_hash,opponent_family,opponent_rating,opponent_submission,our_bodies_left,our_deck_left,our_prize_left,our_rating,our_turns,own_first_ready_turn,own_first_shadow_turn,rare_candies,seat,shadow_attacks,stamps,turns,version,went_first,won
2,4,0,2026-08-13T10:19:38.992092700Z,92616580,3,3,3,3,2,8,4,1,a665414222aea434,Alakazam,925.4335,54857797,5,22,4,960.2289,5,2,2,2,0,2,0,10,v22_a,True,False
1,5,0,2026-08-13T10:23:40.805602300Z,92617522,5,5,5,4,1,24,4,4,7fa65817cc79c36c,Alakazam,728.6774,55380932,4,17,1,905.7841,7,3,3,1,1,5,1,13,v22_a,True,True
8,4,1,2026-08-13T10:27:37.771280Z,92618462,5,5,5,0,2,35,2,5,f2cc4d01d1fab859,Dragapult,427.9847,55459789,6,21,1,926.5846,7,3,3,1,0,4,2,13,v22_a,True,True
2,3,1,2026-08-13T10:31:37.553782900Z,92619385,6,6,6,1,1,23,5,1,9714ab5c3996f6cc,Grimmsnarl (mirror),795.2256,55458998,5,23,5,928.9212,5,3,3,0,1,2,0,11,v22_a,False,False
6,4,1,2026-08-13T10:35:37.608809Z,92620337,6,6,6,5,3,30,3,3,cc38cb450b86770a,Alakazam,831.3654,55476081,6,15,1,873.7258,6,3,3,2,1,4,2,12,v22_a,False,True
3,3,0,2026-08-13T10:39:37.325733700Z,92621271,4,4,4,4,2,34,3,3,29929a763bf01096,Alakazam,897.1239,55455327,6,18,3,901.4505,4,2,2,1,1,3,2,8,v22_a,False,True
7,4,0,2026-08-13T10:43:39.618212300Z,92622204,4,4,4,2,3,12,5,1,d05bff224d40b9c6,Mega Lucario,569.4695,55380944,5,17,1,930.4266,6,2,2,2,1,4,1,12,v22_a,False,True
5,2,0,2026-08-13T10:47:38.479240900Z,92623138,8,8,8,4,2,14,3,1,cc38cb450b86770a,Alakazam,925.8515,55475151,5,18,3,934.6758,5,4,4,0,1,2,2,11,v22_a,False,False
4,4,2,2026-08-13T10:51:37.669582400Z,92624094,5,5,5,0,3,17,6,2,9714ab5c3996f6cc,Grimmsnarl (mirror),894.8804,55472854,2,15,2,908.1348,6,3,3,0,0,4,2,12,v22_a,True,False
7,5,2,2026-08-13T10:55:43.714214Z,92625043,6,6,6,0,3,15,9,2,9714ab5c3996f6cc,Grimmsnarl (mirror),1038.2313,55454605,3,19,1,883.3787,7,3,3,1,1,5,1,15,v22_a,False,False
11,3,0,2026-08-13T10:59:43.355096800Z,92626016,5,5,5,0,3,16,2,3,9714ab5c3996f6cc,Grimmsnarl (mirror),792.2905,55382726,5,20,1,871.7604,6,3,3,1,0,3,1,11,v22_a,True,True
4,3,1,2026-08-13T11:03:44.146264500Z,92626895,9,9,9,2,2,10,4,1,cc38cb450b86770a,Alakazam,891.9153,55470353,5,13,3,887.1202,7,5,5,1,0,3,2,14,v22_a,True,False
10,4,0,2026-08-13T11:07:42.587843500Z,92627855,5,5,5,5,2,17,2,3,a6535bbccddb9182,Mega Lucario,867.9465,54336897,6,22,1,868.0136,6,3,3,0,0,4,1,11,v22_a,True,True
5,6,0,2026-08-13T11:11:41.874145900Z,92628804,5,5,5,1,3,16,6,3,ebd4dbb270dce6a2,Archaludon,782.4416,54972308,6,19,1,886.2795,8,3,3,1,0,6,1,15,v22_a,True,True
12,7,0,2026-08-13T11:15:42.148351800Z,92629750,5,3,5,2,3,19,4,1,a7ee29914c1dce64,Mega Lopunny / Froslass,961.1291,55422703,6,10,3,897.6777,9,2,3,2,0,7,1,17,v22_a,True,True
